HV  (V),Pules height (mV),error,Pulse area (nVs),error
740,648.2,0.8,228.8,0.2
760,769.1,0.9,272.3,0.2
780,951,0,321.5,0.3
720,540.7,0.6,191.2,0.3
620,202.6,0.2,70.82,0.07
640,249.9,0.4,87.49,0.1
660,305.8,0.5,107.1,0.1
680,372.5,0.6,131.2,0.2
700,450.9,0.6,158.6,0.2
600,163.9,0.2,56.89,0.07
800,951,0,370.2,0.3
820,951,0,408,0.2
840,951,0,441.4,0.2
880,951,0,502.7,0.2
580,131.2,0.1,45.18,0.04
500,49.95,0.1,15.92,0.04
540,82.22,0.17,27.66,0.07
