HV  (V),Pules height (mV),error,Pulse area (nVs),error
740,358.5,1.3,126.2,0.4
780,506,2.5,178.5,0.4
620,111.3,0.6,38.27,0.11
660,170.2,1.4,58.83,0.29
700,249.1,1.4,87.1,0.2
820,695.6,1.9,246.4,0.4
880,950.9,0,378,0.6
1000,950.9,0,546.8,0.6
1100,950.9,0,NA,NA
680,204.1,0.8,71.44,0.23

