HV  (V),Pules height (mV),error,Pulse area (nVs),error
740,39.18,0.2,11.48,0.06
780,55.03,0.26,16.84,0.09
620,NONE,NONE,NONE,NONE
660,19.91,0.24,4.392,0.073
700,27.17,0.16,7.315,0.07
820,76.25,0.34,23.9,0.1
880,121.3,0.6,39.3,0.2
1000,276.3,1.5,91.05,0.36
1100,511.3,3.9,168.6,1.4
680,22.31,0.35,5.737,0.058

