HV  (V),Pules height (mV),error,Pulse area (nVs),error
740,90.78,0.31,30.16,0.08
780,127.7,0.5,43.39,0.17
620,29,0.1,8.151,0.032
660,42.54,0.18,13.2,0.1
700,62.92,0.37,20.36,0.09
820,178.7,0.6,61.46,0.23
880,284.8,1,96.64,0.23
1000,653.8,2.1,224.3,0.6
1100,950.9,0,387.4,1.7
680,52.15,0.2,16.91,0.1

