HV  (V),Pules height (mV),error,Pulse area (nVs),error
740,86.43,0.26,28.53,0.07
760,104.3,0.4,34.65,0.12
780,121.8,0.4,41.22,0.1
720,73.09,0.24,23.48,0.06
620,27.82,0.08,7.667,0.029
640,33.73,0.12,9.763,0.04
660,41.41,0.17,12.61,0.06
680,50.16,0.2,15.67,0.05
700,61.45,0.31,19.41,0.06
800,143.6,0.4,48.96,0.15
820,168.8,0.4,57.7,0.1
840,197.5,0.6,68.08,0.31
880,268.4,1.6,91.98,0.22
1000,612.3,1.9,212.7,0.5
1100,950.3,0,373.5,0.9
