HV  (V),Pules height (mV),error,Pulse area (nVs),error
740,36.78,0.16,10.62,0.04
760,43.92,0.16,12.9,0.01
780,51.88,0.18,15.67,0.04
720,31.14,0.12,8.601,0.034
620,NONE,NONE,NONE,NONE
640,NONE,NONE,NONE,NONE
660,19.39,0.13,4.16,0.06
680,22.34,0.12,5.456,0.036
700,26.36,0.14,6.856,0.045
800,61.23,0.2,18.75,0.06
820,70.97,0.23,22.27,0.06
840,83.43,0.28,26.25,0.09
880,113.2,0.3,36.49,0.09
1000,261,1,85.57,0.24
1100,484.8,2.7,159.2,0.7
