HV  (V),Pules height (mV),error,Pulse area (nVs),error
740,174.9,3.7,61.06,1.37
760,210,2.8,75.56,2.94
780,241,4.8,NA,NA
720,NA,NA,53.68,1.68
620,54.38,0.95,17.56,0.21
640,65.66,1,22.18,0.53
660,80.58,1.66,26.23,0.42
680,96.98,1.93,32.74,0.61
700,NA,NA,NA,NA
800,276.9,4.4,96.34,1.24
820,317.5,5.8,110.3,1.9
840,385,5.2,131.9,3.9
880,NA,NA,NA,NA
1000,950.7,0,427.6,7.1
1100,950.3,0,556.5,10.1
