HV  (V),Pules height (mV),error,Pulse area (nVs),error
740,593.6,0.9,209.8,0.2
760,702.7,1.1,250.6,0.4
780,830.6,1.1,296.6,0.3
720,498.6,0.7,176,0.2
620,188.5,0.3,65.77,0.08
640,230.8,0.4,80.86,0.12
660,282.5,0.5,99.08,0.16
680,343,0.7,121.2,0.2
700,415.1,0.7,146.8,0.3
600,151.7,0.3,52.77,0.07
800,950.8,0,349.2,0.4
820,950.9,0,389.8,0.3
840,950.9,0,425.7,0.3
880,950.8,0,487.7,0.2
580,121.7,0.2,42.01,0.05
500,46.97,0.1,15.04,0.04
540,76.71,0.21,25.73,0.06
