HV  (V),Pules height (mV),error,Pulse area (nVs),error
740,291.9,4.9,100.5,0.7
760,NA,NA,119.4,0.8
780,405.8,2.4,143.7,1.5
720,237.8,3.5,83.63,1.08
620,NA,NA,30.62,0.19
640,NA,NA,37.42,0.34
660,135.9,3.1,46.65,0.4
680,NA,NA,NA,NA
700,200.6,5.2,68.36,0.61
800,467.8,3.9,167.1,0.6
820,564.9,5.6,194.1,1.3
840,654.4,8.7,225.9,1.1
880,950.8,0,314.6,1.4
1000,950.7,0,NA,NA
1100,950.3,0,NA,NA
