HV  (V),Pules height (mV),error,Pulse area (nVs),error
740,329.6,1.1,116.6,0.3
760,390.3,1.6,138.4,0.6
780,467.1,1.9,165.3,0.3
720,272.7,1.4,97.59,0.24
620,104.4,0.3,35.87,0.09
640,128.3,0.5,43.96,0.16
660,155.7,0.9,54.22,0.16
680,191.8,0.6,65.91,0.18
700,230.3,1.2,80.23,0.2
800,540,2,194.1,0.5
820,649.8,1.9,229,0.5
840,759.1,2.5,268.2,0.5
880,950.8,0,358.3,0.8
1000,950.7,0,535.6,0.5
1100,950.3,0,NA,NA
