Run,HV  (V),Pules height (mV),error,Pulse area (nVs),error,,,Run,HV  (V),Pules height (mV),error,Pulse area (nVs),error,,Run,HV  (V),Pules height (mV),error,Pulse area (nVs),error,,Run,HV  (V),Pules height (mV),error,Pulse area (nVs),error
5375,800,61.23,0.2,18.75,0.06,,,,,,,,,,,,,,,,,,,,,,
5375,800,143.6,0.4,48.96,0.15,,,,,,,,,,,,,,,,,,,,,,
5375,800,276.9,4.4,96.34,1.24,,,,,,,,,,,,,,,,,,,,,,
5375,800,467.8,3.9,167.1,0.6,,,,,,,,,,,,,,,,,,,,,,
5375,800,540,2,194.1,0.5,,,,,,,,,,,,,,,,,,,,,,
5376,820,70.97,0.23,22.27,0.06,,,,,,,,,,,,,,,,,,,,,,
5376,820,168.8,0.4,57.7,0.1,,,,,,,,,,,,,,,,,,,,,,
5376,820,317.5,5.8,110.3,1.9,,,,,,,,,,,,,,,,,,,,,,
5376,820,564.9,5.6,194.1,1.3,,,,,,,,,,,,,,,,,,,,,,
5376,820,649.8,1.9,229,0.5,,,,,,,,,,,,,,,,,,,,,,
5379,840,83.43,0.28,26.25,0.09,,,,,,,,,,,,,,,,,,,,,,
5379,840,197.5,0.6,68.08,0.31,,,,,,,,,,,,,,,,,,,,,,
5379,840,385,5.2,131.9,3.9,,,,,,,,,,,,,,,,,,,,,,
5379,840,654.4,8.7,225.9,1.1,,,,,,,,,,,,,,,,,,,,,,
5379,840,759.1,2.5,268.2,0.5,,,,,,,,,,,,,,,,,,,,,,
5380,880,113.2,0.3,36.49,0.09,,,,,,,,,,,,,,,,,,,,,,
5380,880,268.4,1.6,91.98,0.22,,,,,,,,,,,,,,,,,,,,,,
5380,880,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
5380,880,950.8,0,314.6,1.4,,,,,,,,,,,,,,,,,,,,,,
5380,880,950.8,0,358.3,0.8,,,,,,,,,,,,,,,,,,,,,,
5385,1000,261,1,85.57,0.24,,,,,,,,,,,,,,,,,,,,,,
5385,1000,612.3,1.9,212.7,0.5,,,,,,,,,,,,,,,,,,,,,,
5385,1000,950.7,0,427.6,7.1,,,,,,,,,,,,,,,,,,,,,,
5385,1000,950.7,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,
5385,1000,950.7,0,535.6,0.5,,,,,,,,,,,,,,,,,,,,,,
5386,1100,484.8,2.7,159.2,0.7,,,,,,,,,,,,,,,,,,,,,,
5386,1100,950.3,0,373.5,0.9,,,,,,,,,,,,,,,,,,,,,,
5386,1100,950.3,0,556.5,10.1,,,,,,,,,,,,,,,,,,,,,,
5386,1100,950.3,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,
5386,1100,950.3,0,NA,NA,,,,,,,,,,,,,,,,,,,,,,
