HV  (V),Pules height (mV),error,Pulse area (nVs),error
1300,21.04,0.09,1.553,0.008
1330,23.76,0.06,1.816,0.006
1350,25.9,0.1,2.006,0.006
1370,28.05,0.09,2.217,0.006
1390,30.57,0.08,2.455,0.005
1400,31.87,0.11,2.571,0.006
1420,34.65,0.1,2.842,0.007
1430,36.66,0.1,3.033,0.009
1440,38.33,0.13,3.163,0.009
1450,39.54,0.13,3.291,0.009
